,matchId,participantId,pos,distance,difference
0,2695191094,3,"[array([8232., 6273.]), array([3384., 6713.]), array([ 3671., 12954.]), array([6602., 9312.]), array([8684., 2432.]), array([3601., 6189.])]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
2,2695191095,1,"[array([7018., 3094.]), array([3771., 7900.]), array([ 6331., 12158.]), array([2281.,  803.]), array([8623., 4909.]), array([9571., 4368.])]","[3402.92, 1248.49, 2776.55, 9543.28, 2477.75, 6241.55]",4281.756666666667
4,2695191111,4,"[array([3209., 7700.]), array([ 6844., 11453.]), array([7775., 3624.]), array([10686.,  2327.]), array([394., 461.]), array([5923., 5536.])]","[5221.77, 5868.49, 10192.73, 8091.31, 8521.09, 2412.07]",6717.91
6,2695191114,5,"[array([3223., 7754.]), array([2350., 8381.]), array([9149., 2261.]), array([5258., 3310.]), array([8117., 5827.]), array([ 3179., 13210.])]","[5223.36, 1962.49, 12014.52, 6150.64, 3442.02, 7033.67]",5971.116666666666
8,2695191119,2,"[array([7009., 3092.]), array([5046., 7624.]), array([5685., 9270.]), array([8784., 6128.]), array([7704., 1641.]), array([12370.,  2983.])]","[3408.0, 1895.3, 4198.58, 3859.92, 1259.4, 9336.69]",3992.9816666666666
10,2695191125,5,"[array([6920., 2996.]), array([7172., 4929.]), array([3027., 7830.]), array([ 2595., 13518.]), array([5688., 9320.]), array([5180., 5312.])]","[3529.88, 4187.08, 5164.31, 5809.17, 7511.36, 1806.2]",4668.000000000001
12,2695191126,2,"[array([8609., 6529.]), array([7372., 3605.]), array([2424., 8426.]), array([ 3131., 11558.]), array([8873., 3657.]), array([6863., 5488.])]","[455.7, 5056.07, 4696.57, 4134.29, 1239.49, 3336.47]",3153.0983333333334
14,2695191127,2,"[array([9400., 5635.]), array([6994., 5194.]), array([3721., 6411.]), array([8288., 2411.]), array([9340., 5526.]), array([12458.,  6541.])]","[1330.89, 3916.56, 6543.19, 7103.97, 3162.78, 8863.99]",5153.563333333333
16,2695191130,2,"[array([3708., 8136.]), array([6149., 9624.]), array([2268., 9092.]), array([4821., 2946.]), array([11636.,  1553.]), array([ 2883., 11372.])]","[4892.58, 4014.87, 4108.95, 6610.44, 3080.09, 5232.5]",4656.571666666667
18,2695191136,2,"[array([8022., 4208.]), array([6809., 5005.]), array([2218., 8666.]), array([ 2788., 11948.]), array([8614., 5833.]), array([10448.,  2924.])]","[2075.65, 3827.26, 4527.49, 4636.28, 3401.72, 7585.62]",4342.336666666667
20,2695191140,2,"[array([8570., 4776.]), array([6835., 5542.]), array([3685., 8321.]), array([5175., 3288.]), array([11268.,  7104.]), array([9759., 5239.])]","[1534.68, 3644.26, 4633.02, 6190.71, 5338.97, 6230.85]",4595.415000000001
22,2695191146,2,"[array([6546., 4532.]), array([6924., 5058.]), array([2520., 4718.]), array([ 4023., 11613.]), array([4788., 8220.]), array([9846., 2568.])]","[2423.57, 3907.76, 8316.04, 3456.28, 6977.09, 7218.84]",5383.263333333333
24,2695191147,5,"[array([7586., 3815.]), array([3741., 6390.]), array([3904., 9914.]), array([6768., 8545.]), array([5050., 9336.]), array([12687.,  4930.])]","[2541.47, 481.43, 3048.92, 784.76, 7802.0, 9172.81]",3971.898333333333
26,2695191153,4,"[array([11765.,  5460.]), array([3657., 6529.]), array([ 4229., 12639.]), array([ 3516., 13365.]), array([6463., 4596.]), array([8529., 6427.])]","[3625.34, 329.22, 640.77, 5094.13, 3100.93, 4933.74]",2954.021666666666
28,2695191156,2,"[array([7368., 3435.]), array([7165., 5360.]), array([ 3408., 10074.]), array([394., 461.]), array([3372., 7976.]), array([6902., 5482.])]","[2966.6, 4015.79, 2891.98, 10811.08, 7678.1, 3375.86]",5289.901666666666
30,2695191157,4,"[array([7903., 3569.]), array([5235., 5681.]), array([4958., 9051.]), array([9158., 2184.]), array([6406., 4789.]), array([11373.,  8238.])]","[2723.94, 2119.25, 4109.72, 7572.42, 3277.92, 8037.56]",4640.135
32,2695191159,3,"[array([10372.,  3008.]), array([3923., 8054.]), array([8669., 3502.]), array([8236., 5611.]), array([3578., 8934.]), array([1338.,  917.])]","[3903.82, 1445.27, 10692.07, 4045.66, 8267.24, 5737.17]",5681.871666666666
34,2695191161,5,"[array([6724., 3158.]), array([4003., 5987.]), array([3779., 9336.]), array([6253., 4988.]), array([1889., 1308.]), array([5936., 9288.])]","[3460.82, 954.06, 3619.61, 4338.06, 6887.34, 3880.21]",3856.683333333333
36,2695191164,2,"[array([7126., 3097.]), array([6967., 5442.]), array([3416., 7992.]), array([610., 741.]), array([10944.,  4976.]), array([7177., 5288.])]","[3363.07, 3801.75, 4968.55, 10457.83, 3402.87, 3687.76]",4946.971666666665
38,2695191166,2,"[array([7384., 3115.]), array([6820., 4688.]), array([ 3842., 10042.]), array([ 3810., 10818.]), array([8200., 4824.]), array([1855., 2629.])]","[3269.87, 3988.32, 2917.02, 3172.27, 2440.48, 3965.11]",3292.1783333333333
40,2695191173,1,"[array([8715., 5473.]), array([11140.,  7085.]), array([7300., 3850.]), array([4457., 5961.]), array([3692., 9848.]), array([6123., 1848.])]","[934.5, 7764.92, 9800.64, 3978.72, 8939.64, 5020.43]",6073.141666666666
42,2695191175,3,"[array([7639., 3651.]), array([3763., 6541.]), array([6312., 9729.]), array([2650.,  961.]), array([12823.,  1753.]), array([7236., 7565.])]","[2688.22, 416.2, 4168.39, 9238.91, 4194.32, 3886.72]",4098.793333333334
44,2695191179,2,"[array([8844., 5066.]), array([3833., 6398.]), array([1752., 9996.]), array([4258., 9289.]), array([8426., 2487.]), array([12748.,  1647.])]","[1353.29, 548.48, 3525.95, 2344.11, 263.8, 10212.61]",3041.3733333333334
46,2695191193,2,"[array([6552., 4644.]), array([6224., 5007.]), array([2439., 8370.]), array([6200., 8923.]), array([ 1055., 11714.]), array([2238., 8468.])]","[2340.09, 3313.01, 4746.67, 559.4, 12014.87, 2655.49]",4271.588333333333
48,2695191194,5,"[array([7796., 3560.]), array([3653., 8010.]), array([ 4033., 10441.]), array([394., 461.]), array([12152.,  8222.]), array([8154., 2465.])]","[2747.81, 1324.6, 2538.94, 10811.08, 6749.16, 5882.01]",5008.933333333333
50,2695191200,1,"[array([7422., 5091.]), array([7882., 4100.]), array([9689., 5849.]), array([2782., 6394.]), array([ 2876., 11584.]), array([ 1274., 11706.])]","[1432.91, 5201.9, 9311.14, 4806.99, 10839.37, 5987.67]",6263.329999999999
52,2695191203,4,"[array([7106., 3058.]), array([10000.,  7673.]), array([7002., 5519.]), array([9403., 2674.]), array([3784., 7890.]), array([ 2683., 11641.])]","[3406.48, 6685.29, 8147.07, 7204.77, 7334.83, 5528.75]",6384.531666666667
54,2695191205,2,"[array([7922., 3558.]), array([6771., 4663.]), array([2846., 7467.]), array([ 1932., 11865.]), array([13194.,  2980.]), array([6923., 4859.])]","[2732.64, 3959.07, 5548.67, 5322.28, 4543.17, 3578.35]",4280.696666666667
56,2695191206,1,"[array([6186., 4124.]), array([6948., 5374.]), array([5093., 8589.]), array([3446., 9981.]), array([4695., 5887.]), array([8439., 2408.])]","[2967.21, 3807.23, 4590.79, 3226.13, 5277.23, 6140.21]",4334.8
58,2695191212,4,"[array([8098., 1618.]), array([4024., 6408.]), array([3904., 7339.]), array([1015.,  683.]), array([10036.,  2407.]), array([4016., 6114.])]","[4656.93, 708.96, 5619.83, 10279.8, 1352.23, 421.72]",3839.911666666667
60,2695191217,5,"[array([7559., 3715.]), array([5712., 5157.]), array([2355., 8445.]), array([12549.,  3642.]), array([7018., 5260.]), array([2086., 8410.])]","[2645.05, 2800.13, 4697.12, 8216.79, 3282.25, 2688.51]",4054.975
62,2695191218,4,"[array([4910., 8368.]), array([3859., 7835.]), array([5999., 4982.]), array([7961., 1866.]), array([2877., 7868.]), array([ 2143., 12311.])]","[3927.43, 1218.4, 8304.96, 7569.0, 7954.33, 6293.22]",5877.89
64,2695191220,3,"[array([662., 285.]), array([6908., 5033.]), array([12913.,  2697.]), array([617., 760.]), array([ 1903., 11403.]), array([4219., 9735.])]","[9652.0, 3903.97, 13806.54, 10438.24, 11245.48, 3599.45]",8774.279999999999
66,2695191231,3,"[array([8586., 4576.]), array([3833., 6524.]), array([ 1897., 11652.]), array([7624., 3227.]), array([8000., 2371.]), array([7156., 7221.])]","[1733.53, 487.16, 2200.52, 6170.23, 686.71, 3701.76]",2496.651666666666
68,2695191236,1,"[array([7180., 3405.]), array([7441., 5078.]), array([5229., 9322.]), array([7387., 1440.]), array([396., 462.]), array([396., 462.])]","[3054.85, 4374.07, 3952.06, 7911.04, 8518.91, 6562.82]",5728.958333333333
70,2695191237,1,"[array([7872., 3608.]), array([7757., 7454.]), array([4177., 9347.]), array([3567., 6070.]), array([8463., 2525.]), array([2554., 4834.])]","[2689.21, 4435.34, 3642.32, 4440.92, 239.77, 1712.38]",2859.9900000000002
72,2695191239,5,"[array([5713., 7330.]), array([2292., 8335.]), array([11003.,  4484.]), array([8397., 2752.]), array([9937., 3341.]), array([3145., 7676.])]","[2731.78, 1955.34, 11202.64, 6801.15, 1548.0, 1555.35]",4299.043333333332
74,2695191245,1,"[array([8022., 4058.]), array([3184., 7675.]), array([ 7963., 10839.]), array([3440., 6680.]), array([4820., 6043.]), array([6579., 2602.])]","[2224.93, 982.57, 4784.82, 4114.08, 5288.65, 4662.09]",3676.19
